,name,Status,"Population
Census
1987-05-25","Population
Estimate
1995-12-31","Population
Estimate
2001-12-31","Population
Census
2011-05-09","Population
Estimate
2014-12-31",Change2001-2011
196,Ammerland,County,93603,103651,111994,117912,119917,5918
197,Aurich,County,168281,180118,188363,187136,187998,-1227
198,Braunschweig,City with County Rights,252351,252544,245516,242537,248502,-2979
199,Celle,County,165433,179143,181962,176690,176157,-5272
200,Cloppenburg,County,115243,141179,150973,159337,162350,8364
201,Cuxhaven,County,190234,198654,206192,198777,196787,-7415
202,Delmenhorst,City with County Rights,72072,78226,76284,73322,74804,-2962
203,Diepholz,County,183448,203704,212761,211185,211093,-1576
204,Emden,City with County Rights,50144,51559,51185,49787,50016,-1398
205,Emsland,County,255394,292993,304698,311089,315757,6391
206,Friesland,County,93634,97929,101402,98229,96937,-3173
207,Gifhorn,County,129505,161826,172880,171333,172541,-1547
208,Goslar,County,157839,161549,155610,140137,137256,-15473
209,Göttingen,County,244954,266150,265058,248037,250220,-17021
210,Grafschaft Bentheim,County,117364,125721,131086,133395,134329,2309
211,Hameln-Pyrmont,County,154554,163798,162290,150259,147813,-12031
212,Harburg,County,188710,215975,235110,238443,245199,3333
213,Heidekreis (Soltau-Fallingbostel),County,123187,134811,141192,136693,136200,-4499
214,Helmstedt,County,97807,101829,99527,91410,90908,-8117
215,Hildesheim,County,280497,292525,293091,277595,274554,-15496
216,Holzminden,County,80070,83341,80866,73548,71438,-7318
217,Leer,County,143822,154057,162765,163832,165809,1067
218,Lüchow-Dannenberg,County,47657,51657,51820,49205,48728,-2615
219,Lüneburg,County,130715,155893,168734,174123,178122,5389
220,Nienburg/Weser,County,112209,124065,126310,122241,119631,-4069
221,Northeim,County,147554,154186,150100,137445,133905,-12655
222,Oldenburg,County,99424,112922,122550,125015,126798,2465
223,Oldenburg Stadt,City with County Rights,140149,151382,155908,157267,160907,1359
224,Osnabrück,County,293671,342808,355871,350147,351316,-5724
225,Osnabrück Stadt,City with County Rights,150807,168618,164195,153699,156897,-10496
226,Osterholz,County,94196,105576,111473,110907,111484,-566
227,Osterode am Harz,County,87111,88862,84750,76785,73793,-7965
228,Peine,County,117550,126780,132998,130398,130601,-2600
229,Region Hannover,County,1040428,1109093,1122038,1102240,1128037,-19798
230,Rotenburg (Wümme),County,137896,152688,163058,162726,161842,-332
231,Salzgitter,City with County Rights,111069,117713,111696,98895,98966,-12801
232,Schaumburg,County,150168,162439,166548,157496,155847,-9052
233,Stade,County,163769,183728,192973,195450,197448,2477
234,Uelzen,County,91777,95893,97635,93596,92533,-4039
235,Vechta,County,101627,118575,128189,132293,136184,4104
236,Verden,County,113223,128108,133289,132300,133215,-989
237,Wesermarsch,County,89349,94061,94332,90033,88765,-4299
238,Wilhelmshaven,City with County Rights,90982,90667,84994,77451,75534,-7543
239,Wittmund,County,52360,55225,57421,56839,56539,-582
240,Wolfenbüttel,County,115370,121870,126842,120774,120035,-6068
241,Wolfsburg,City with County Rights,124896,126331,121887,119984,123027,-1903
242,Bielefeld,City with County Rights,305566,324066,323373,326870,329782,3497
