,name,pop,
748,"Miami, Indiana",35954,
749,"Monroe, Indiana",143339,
750,"Montgomery, Indiana",38146,
751,"Morgan, Indiana",69693,
752,"Newton, Indiana",14156,
753,"Noble, Indiana",47618,
754,"Ohio, Indiana",6035,
755,"Orange, Indiana",19626,
756,"Owen, Indiana",20969,
757,"Parke, Indiana",17233,
758,"Perry, Indiana",19454,
759,"Pike, Indiana",12624,
760,"Porter, Indiana",167076,
761,"Posey, Indiana",25540,
762,"Pulaski, Indiana",12967,
763,"Putnam, Indiana",37618,
764,"Randolph, Indiana",25384,
765,"Ripley, Indiana",28497,
766,"Rush, Indiana",16892,
767,"Scott, Indiana",23712,
768,"Shelby, Indiana",44579,
769,"Spencer, Indiana",20801,
770,"Starke, Indiana",23074,
771,"Steuben, Indiana",34308,
772,"St. Joseph, Indiana",267618,
773,"Sullivan, Indiana",21050,
774,"Switzerland, Indiana",10452,
775,"Tippecanoe, Indiana",183074,
776,"Tipton, Indiana",15415,
777,"Union, Indiana",7246,
778,"Vanderburgh, Indiana",182006,
779,"Vermillion, Indiana",15693,
780,"Vigo, Indiana",108175,
781,"Wabash, Indiana",32252,
782,"Warren, Indiana",8352,
783,"Warrick, Indiana",61149,
784,"Washington, Indiana",27878,
785,"Wayne, Indiana",67671,
786,"Wells, Indiana",27862,
787,"White, Indiana",24453,
788,"Whitley, Indiana",33403,
789,"Adair, Iowa",7454,
790,"Adams, Iowa",3875,
791,"Allamakee, Iowa",14038,
792,"Appanoose, Iowa",12661,
793,"Audubon, Iowa",5794,
794,"Benton, Iowa",25680,
795,"Black Hawk, Iowa",132897,
796,"Boone, Iowa",26433,
797,"Bremer, Iowa",24721,
798,"Buchanan, Iowa",21038,
799,"Buena Vista, Iowa",20578,
800,"Butler, Iowa",15006,
801,"Calhoun, Iowa",9866,
802,"Carroll, Iowa",20562,
803,"Cass, Iowa",13448,
804,"Cedar, Iowa",18411,
805,"Cerro Gordo, Iowa",43254,
806,"Cherokee, Iowa",11836,
807,"Chickasaw, Iowa",12264,
808,"Clarke, Iowa",9217,
809,"Clay, Iowa",16515,
810,"Clayton, Iowa",17692,
811,"Clinton, Iowa",48051,
812,"Crawford, Iowa",17228,
813,"Dallas, Iowa",77400,
814,"Davis, Iowa",8781,
815,"Decatur, Iowa",8263,
816,"Delaware, Iowa",17398,
817,"Des Moines, Iowa",40255,
818,"Dickinson, Iowa",16935,
