,lt_x,lt_y,rb_x,rb_y,target_norm
9105,18891055.42,20365482.82,19204371.58,20546242.18,9.09769390001e+11
9106,18891085.42,20365472.82,19204401.58,20546232.18,9.09769390001e+11
9107,18891095.42,20365572.82,19204411.58,20546332.18,9.09769390001e+11
9108,18891055.42,20365572.82,19204371.58,20546332.18,9.09769390001e+11
9109,18891085.42,20365522.82,19204401.58,20546282.18,9.09769390001e+11
9110,18891085.42,20365532.82,19204401.58,20546292.18,9.09769390001e+11
9111,18891085.42,20365512.82,19204401.58,20546272.18,9.09769390001e+11
9112,18891105.42,20365512.82,19204421.58,20546272.18,9.09769390001e+11
9113,18891115.42,20365552.82,19204431.58,20546312.18,9.09769390001e+11
9114,18891075.42,20365552.82,19204391.58,20546312.18,9.09769390001e+11
9115,18891065.42,20365542.82,19204381.58,20546302.18,9.09769390001e+11
9116,18891125.42,20365472.82,19204441.58,20546232.18,9.09769390001e+11
9117,18891125.42,20365482.82,19204441.58,20546242.18,9.09769390001e+11
9118,18891075.42,20365482.82,19204391.58,20546242.18,9.09769390001e+11
9119,18891115.42,20365492.82,19204431.58,20546252.18,9.09769390001e+11
9120,18891115.42,20365472.82,19204431.58,20546232.18,9.09769390001e+11
9121,18891075.42,20365562.82,19204391.58,20546322.18,9.09769390001e+11
9122,18891135.42,20365492.82,19204451.58,20546252.18,9.09769390001e+11
9123,18891125.42,20365572.82,19204441.58,20546332.18,9.09769390001e+11
9124,18891135.42,20365482.82,19204451.58,20546242.18,9.09769390001e+11
9125,18891065.42,20365562.82,19204381.58,20546322.18,9.09769390001e+11
9126,18891055.42,20365542.82,19204371.58,20546302.18,9.09769390001e+11
9127,18891055.42,20365502.82,19204371.58,20546262.18,9.09769390001e+11
9128,18891115.42,20365512.82,19204431.58,20546272.18,9.09769390001e+11
9129,18891045.42,20365502.82,19204361.58,20546262.18,9.09769390001e+11
9130,18891055.42,20365512.82,19204371.58,20546272.18,9.09769390001e+11
9131,18891125.42,20365502.82,19204441.58,20546262.18,9.09769390001e+11
9132,18891085.42,20365542.82,19204401.58,20546302.18,9.09769390001e+11
9133,18891035.42,20365542.82,19204351.58,20546302.18,9.09769390001e+11
9134,18891035.42,20365502.82,19204351.58,20546262.18,9.09769390001e+11
9135,18891095.42,20365522.82,19204411.58,20546282.18,9.09769390001e+11
9136,18891075.42,20365542.82,19204391.58,20546302.18,9.09769390001e+11
9137,18891065.42,20365512.82,19204381.58,20546272.18,9.09769390001e+11
9138,18891095.42,20365542.82,19204411.58,20546302.18,9.09769390001e+11
9139,18891065.42,20365502.82,19204381.58,20546262.18,9.09769390001e+11
9140,18891105.42,20365472.82,19204421.58,20546232.18,9.09769390001e+11
9141,18891125.42,20365492.82,19204441.58,20546252.18,9.09769390001e+11
9142,18891095.42,20365562.82,19204411.58,20546322.18,9.09769390001e+11
9143,18891095.42,20365512.82,19204411.58,20546272.18,9.09769390001e+11
9144,18891115.42,20365482.82,19204431.58,20546242.18,9.09769390001e+11
9145,18891115.42,20365572.82,19204431.58,20546332.18,9.09769390001e+11
9146,18891135.42,20365562.82,19204451.58,20546322.18,9.09769390001e+11
9147,18891045.42,20365472.82,19204361.58,20546232.18,9.09769390001e+11
9148,18891045.42,20365542.82,19204361.58,20546302.18,9.09769390001e+11
9149,18891105.42,20365482.82,19204421.58,20546242.18,9.09769390001e+11
9150,18891075.42,20365502.82,19204391.58,20546262.18,9.09769390001e+11
9151,18891105.42,20365522.82,19204421.58,20546282.18,9.09769390001e+11
9152,18891065.42,20365532.82,19204381.58,20546292.18,9.09769390001e+11
9153,18891045.42,20365482.82,19204361.58,20546242.18,9.09769390001e+11
9154,18891065.42,20365492.82,19204381.58,20546252.18,9.09769390001e+11
9155,18891075.42,20365522.82,19204391.58,20546282.18,9.09769390001e+11
9156,18891055.42,20365472.82,19204371.58,20546232.18,9.09769390001e+11
9157,18891135.42,20365532.82,19204451.58,20546292.18,9.09769390001e+11
